Brian Hansen,Long Track Speedskating,IL,27,72,M,0,1,0
Emery Lehman,Long Track Speedskating,IL,21,72,M,0,0,0
Joey Mantia,Long Track Speedskating,FL,32,68,M,0,0,0
Mitch Whitmore,Long Track Speedskating,WI,28,70,M,0,0,0
Maame Biney,Short Track Speedskating,VA,18,66,F,0,0,0
Lana Gehring,Short Track Speedskating,IL,27,69,F,0,0,1
Jessica Kooreman,Short Track Speedskating,MI,34,60,F,0,0,0
J.R. Celski,Short Track Speedskating,WA,27,68,M,0,1,2
Thomas Hong,Short Track Speedskating,MD,20,68,M,0,0,0
John-Henry Krueger,Short Track Speedskating,PA,22,70,M,0,0,0
Ryan Pivirotto,Short Track Speedskating,MI,22,65,M,0,0,0
Aaron Tran,Short Track Speedskating,WA,21,67,M,0,0,0
